Timestamp,Level,day_of_week,hour_of_day,month_of_year,year,Rain
2023-03-08 13:00:00,2.2933333333333334,2,13,3,2023,0.0
2023-03-08 14:00:00,2.375,2,14,3,2023,0.0
2023-03-08 15:00:00,2.5216666666666665,2,15,3,2023,0.0
2023-03-08 16:00:00,2.5216666666666665,2,16,3,2023,0.0
2023-03-08 17:00:00,2.54,2,17,3,2023,0.0
2023-03-08 18:00:00,2.97,2,18,3,2023,0.0
2023-03-08 19:00:00,2.94,2,19,3,2023,0.0
2023-03-08 20:00:00,2.8033333333333332,2,20,3,2023,0.0
2023-03-08 21:00:00,2.8666666666666667,2,21,3,2023,0.0
2023-03-08 22:00:00,3.0,2,22,3,2023,0.0
2023-03-08 23:00:00,2.75,2,23,3,2023,0.0
2023-03-09 00:00:00,2.668333333333333,3,0,3,2023,0.0
2023-03-09 01:00:00,2.46,3,1,3,2023,0.0
2023-03-09 02:00:00,2.3333333333333335,3,2,3,2023,0.0
2023-03-09 03:00:00,2.1999999999999997,3,3,3,2023,0.0
2023-03-09 04:00:00,2.19,3,4,3,2023,0.0
2023-03-09 05:00:00,2.25,3,5,3,2023,0.0
2023-03-09 06:00:00,2.47,3,6,3,2023,0.0
2023-03-09 07:00:00,2.793333333333333,3,7,3,2023,0.0
2023-03-09 08:00:00,2.6799999999999997,3,8,3,2023,0.0
2023-03-09 09:00:00,2.61,3,9,3,2023,0.0
2023-03-09 10:00:00,2.7416666666666667,3,10,3,2023,0.0
2023-03-09 11:00:00,2.6783333333333332,3,11,3,2023,0.0
2023-03-09 12:00:00,2.7099999999999995,3,12,3,2023,0.0
2023-03-09 13:00:00,2.6566666666666667,3,13,3,2023,0.0
2023-03-09 14:00:00,2.53,3,14,3,2023,0.0
2023-03-09 15:00:00,2.6166666666666667,3,15,3,2023,0.0
2023-03-09 16:00:00,2.726,3,16,3,2023,0.0
2023-03-09 17:00:00,2.8266666666666667,3,17,3,2023,0.0
2023-03-09 18:00:00,2.8683333333333336,3,18,3,2023,0.0
2023-03-09 19:00:00,3.063333333333333,3,19,3,2023,0.0
2023-03-09 20:00:00,3.0549999999999997,3,20,3,2023,0.0
2023-03-09 21:00:00,3.1799999999999997,3,21,3,2023,0.0
2023-03-09 22:00:00,3.0749999999999997,3,22,3,2023,0.0
2023-03-09 23:00:00,2.888333333333333,3,23,3,2023,0.0
2023-03-10 00:00:00,2.918333333333333,4,0,3,2023,0.0
2023-03-10 01:00:00,2.74,4,1,3,2023,0.0
2023-03-10 02:00:00,2.678,4,2,3,2023,0.0
2023-03-10 03:00:00,2.6599999999999997,4,3,3,2023,0.0
2023-03-10 04:00:00,2.7099999999999995,4,4,3,2023,0.0
2023-03-10 05:00:00,2.6483333333333334,4,5,3,2023,0.0
2023-03-10 06:00:00,2.8033333333333332,4,6,3,2023,0.0
2023-03-10 07:00:00,2.92,4,7,3,2023,0.0
2023-03-10 08:00:00,2.9066666666666667,4,8,3,2023,0.0
2023-03-10 09:00:00,2.952,4,9,3,2023,0.0
2023-03-10 10:00:00,2.875,4,10,3,2023,0.0
2023-03-10 11:00:00,2.98,4,11,3,2023,0.0
2023-03-10 12:00:00,2.738,4,12,3,2023,0.0
2023-03-10 13:00:00,2.668333333333333,4,13,3,2023,0.0
2023-03-10 14:00:00,2.6483333333333334,4,14,3,2023,0.0
2023-03-10 15:00:00,2.5416666666666665,4,15,3,2023,0.0
2023-03-10 16:00:00,2.585,4,16,3,2023,0.0
2023-03-10 17:00:00,2.5,4,17,3,2023,0.0
2023-03-10 18:00:00,2.7099999999999995,4,18,3,2023,0.0
2023-03-10 19:00:00,2.8033333333333332,4,19,3,2023,0.0
2023-03-10 20:00:00,3.052,4,20,3,2023,0.0
2023-03-10 21:00:00,2.7216666666666662,4,21,3,2023,0.0
2023-03-10 22:00:00,2.763333333333333,4,22,3,2023,0.0
2023-03-10 23:00:00,2.6283333333333334,4,23,3,2023,0.0
2023-03-11 00:00:00,2.6033333333333335,5,0,3,2023,0.0
2023-03-11 01:00:00,2.44,5,1,3,2023,0.0
2023-03-11 02:00:00,2.595,5,2,3,2023,0.0
2023-03-11 03:00:00,2.3533333333333335,5,3,3,2023,0.0
2023-03-11 04:00:00,2.25,5,4,3,2023,0.0
2023-03-11 05:00:00,2.3666666666666667,5,5,3,2023,0.0
2023-03-11 06:00:00,2.38,5,6,3,2023,0.0
2023-03-11 07:00:00,2.38,5,7,3,2023,0.0
2023-03-11 08:00:00,2.7733333333333334,5,8,3,2023,0.0
2023-03-11 09:00:00,3.012,5,9,3,2023,0.0
2023-03-11 10:00:00,3.1983333333333337,5,10,3,2023,0.0
2023-03-11 11:00:00,2.912,5,11,3,2023,0.0
2023-03-11 12:00:00,3.125,5,12,3,2023,0.0
2023-03-11 13:00:00,2.938333333333333,5,13,3,2023,0.0
2023-03-11 14:00:00,2.918333333333333,5,14,3,2023,0.0
2023-03-11 15:00:00,2.7183333333333333,5,15,3,2023,0.0
2023-03-11 16:00:00,2.855,5,16,3,2023,0.0
2023-03-11 17:00:00,2.815,5,17,3,2023,0.0
2023-03-11 18:00:00,2.731666666666667,5,18,3,2023,0.0
2023-03-11 19:00:00,2.69,5,19,3,2023,0.0
2023-03-11 20:00:00,2.6999999999999997,5,20,3,2023,0.0
2023-03-11 21:00:00,2.654,5,21,3,2023,0.0
2023-03-11 22:00:00,2.69,5,22,3,2023,0.0
2023-03-11 23:00:00,2.813333333333333,5,23,3,2023,0.0
2023-03-12 00:00:00,2.5749999999999997,6,0,3,2023,0.0
2023-03-12 01:00:00,2.47,6,1,3,2023,0.0
2023-03-12 02:00:00,2.47,6,2,3,2023,0.0
2023-03-12 03:00:00,2.44,6,3,3,2023,0.0
2023-03-12 04:00:00,2.3233333333333333,6,4,3,2023,0.0
2023-03-12 05:00:00,2.402,6,5,3,2023,0.0
2023-03-12 06:00:00,2.2675,6,6,3,2023,0.0
2023-03-12 07:00:00,2.345,6,7,3,2023,0.0
2023-03-12 08:00:00,2.5416666666666665,6,8,3,2023,0.0
2023-03-12 09:00:00,2.6666666666666665,6,9,3,2023,0.0
2023-03-12 10:00:00,2.8333333333333335,6,10,3,2023,0.0
2023-03-12 11:00:00,2.908333333333333,6,11,3,2023,0.0
2023-03-12 12:00:00,3.1399999999999997,6,12,3,2023,0.0
2023-03-12 13:00:00,2.9483333333333337,6,13,3,2023,0.0
2023-03-12 14:00:00,2.9259999999999997,6,14,3,2023,0.0
2023-03-12 15:00:00,2.8249999999999997,6,15,3,2023,0.0
2023-03-12 16:00:00,2.652,6,16,3,2023,0.0
2023-03-12 17:00:00,2.8033333333333332,6,17,3,2023,0.0
2023-03-12 18:00:00,2.73,6,18,3,2023,0.0
2023-03-12 19:00:00,2.8433333333333333,6,19,3,2023,0.0
2023-03-12 20:00:00,2.6566666666666667,6,20,3,2023,0.0
2023-03-12 21:00:00,2.8466666666666662,6,21,3,2023,0.0
2023-03-12 22:00:00,2.6999999999999997,6,22,3,2023,0.0
2023-03-12 23:00:00,2.77,6,23,3,2023,0.0
2023-03-13 00:00:00,2.6149999999999998,0,0,3,2023,0.0
2023-03-13 01:00:00,2.5033333333333334,0,1,3,2023,0.0
2023-03-13 02:00:00,2.388333333333333,0,2,3,2023,0.0
2023-03-13 03:00:00,2.23,0,3,3,2023,0.0
2023-03-13 04:00:00,2.2399999999999998,0,4,3,2023,0.0
2023-03-13 05:00:00,2.2916666666666665,0,5,3,2023,0.0
2023-03-13 06:00:00,2.378,0,6,3,2023,0.0
2023-03-13 07:00:00,2.44,0,7,3,2023,0.0
2023-03-13 08:00:00,2.46,0,8,3,2023,0.0
2023-03-13 09:00:00,2.5733333333333333,0,9,3,2023,0.0
2023-03-13 10:00:00,2.7199999999999998,0,10,3,2023,0.0
2023-03-13 11:00:00,2.6266666666666665,0,11,3,2023,0.0
2023-03-13 12:00:00,2.8016666666666663,0,12,3,2023,0.0
2023-03-13 13:00:00,2.7900000000000005,0,13,3,2023,0.0
2023-03-13 14:00:00,2.735,0,14,3,2023,0.0
2023-03-13 15:00:00,2.77,0,15,3,2023,0.0
2023-03-13 16:00:00,2.6783333333333332,0,16,3,2023,0.0
2023-03-13 17:00:00,2.688333333333333,0,17,3,2023,0.0
2023-03-13 18:00:00,2.7183333333333333,0,18,3,2023,0.0
2023-03-13 19:00:00,2.918333333333333,0,19,3,2023,0.0
2023-03-13 20:00:00,2.815,0,20,3,2023,0.0
2023-03-13 21:00:00,2.8333333333333335,0,21,3,2023,0.0
2023-03-13 22:00:00,2.8033333333333332,0,22,3,2023,0.0
2023-03-13 23:00:00,2.75,0,23,3,2023,0.0
2023-03-14 00:00:00,2.63,1,0,3,2023,0.0
2023-03-14 01:00:00,2.595,1,1,3,2023,0.0
2023-03-14 02:00:00,2.4916666666666667,1,2,3,2023,0.0
2023-03-14 03:00:00,2.18,1,3,3,2023,0.0
2023-03-14 04:00:00,2.18,1,4,3,2023,0.0
2023-03-14 05:00:00,2.19,1,5,3,2023,0.0
2023-03-14 06:00:00,2.2675,1,6,3,2023,0.0
2023-03-14 07:00:00,2.4499999999999997,1,7,3,2023,0.0
2023-03-14 08:00:00,2.545,1,8,3,2023,0.0
2023-03-14 09:00:00,2.4916666666666667,1,9,3,2023,0.0
2023-03-14 10:00:00,2.502,1,10,3,2023,0.0
2023-03-14 11:00:00,2.7283333333333335,1,11,3,2023,0.0
2023-03-14 12:00:00,2.9599999999999995,1,12,3,2023,0.0
2023-03-14 13:00:00,2.6999999999999997,1,13,3,2023,0.0
2023-03-14 14:00:00,2.72,1,14,3,2023,0.0
2023-03-14 15:00:00,2.8,1,15,3,2023,0.0
2023-03-14 16:00:00,2.8766666666666665,1,16,3,2023,0.0
2023-03-14 17:00:00,2.8233333333333337,1,17,3,2023,0.0
2023-03-14 18:00:00,3.043333333333333,1,18,3,2023,0.0
2023-03-14 19:00:00,2.9583333333333335,1,19,3,2023,0.0
2023-03-14 20:00:00,3.09,1,20,3,2023,0.0
2023-03-14 21:00:00,3.0416666666666665,1,21,3,2023,0.0
2023-03-14 22:00:00,3.033333333333333,1,22,3,2023,0.0
2023-03-14 23:00:00,2.8966666666666665,1,23,3,2023,0.0
2023-03-15 00:00:00,2.731666666666667,2,0,3,2023,0.0
2023-03-15 01:00:00,2.6266666666666665,2,1,3,2023,0.0
2023-03-15 02:00:00,2.6366666666666667,2,2,3,2023,0.0
2023-03-15 03:00:00,2.5516666666666667,2,3,3,2023,0.0
2023-03-15 04:00:00,2.46,2,4,3,2023,0.0
2023-03-15 05:00:00,2.314,2,5,3,2023,0.0
2023-03-15 06:00:00,2.5033333333333334,2,6,3,2023,0.0
2023-03-15 07:00:00,2.4899999999999998,2,7,3,2023,0.0
2023-03-15 08:00:00,2.5759999999999996,2,8,3,2023,0.0
2023-03-15 09:00:00,2.606666666666667,2,9,3,2023,0.0
2023-03-15 10:00:00,2.698,2,10,3,2023,0.0
2023-03-15 11:00:00,2.75,2,11,3,2023,0.0
2023-03-15 12:00:00,2.9266666666666663,2,12,3,2023,0.0
2023-03-15 13:00:00,2.7716666666666665,2,13,3,2023,0.0
2023-03-15 14:00:00,2.875,2,14,3,2023,0.0
2023-03-15 15:00:00,2.9583333333333335,2,15,3,2023,0.0
2023-03-15 16:00:00,2.76,2,16,3,2023,0.0
2023-03-15 17:00:00,2.6999999999999997,2,17,3,2023,0.0
2023-03-15 18:00:00,3.0016666666666665,2,18,3,2023,0.0
2023-03-15 19:00:00,2.875,2,19,3,2023,0.0
2023-03-15 20:00:00,3.0216666666666665,2,20,3,2023,0.0
2023-03-15 21:00:00,3.106666666666667,2,21,3,2023,0.0
2023-03-15 22:00:00,2.9716666666666662,2,22,3,2023,0.0
2023-03-15 23:00:00,2.8033333333333332,2,23,3,2023,0.0
2023-03-16 00:00:00,2.6666666666666665,3,0,3,2023,0.0
2023-03-16 01:00:00,2.6,3,1,3,2023,0.0
2023-03-16 02:00:00,2.4899999999999998,3,2,3,2023,0.0
2023-03-16 03:00:00,2.44,3,3,3,2023,0.0
2023-03-16 04:00:00,2.4499999999999997,3,4,3,2023,0.0
2023-03-16 05:00:00,2.488,3,5,3,2023,0.0
2023-03-16 06:00:00,2.616,3,6,3,2023,0.0
2023-03-16 07:00:00,2.795,3,7,3,2023,0.0
2023-03-16 08:00:00,2.69,3,8,3,2023,0.0
2023-03-16 09:00:00,2.7099999999999995,3,9,3,2023,0.0
2023-03-16 10:00:00,2.6166666666666667,3,10,3,2023,0.0
2023-03-16 11:00:00,2.845,3,11,3,2023,0.0
2023-03-16 12:00:00,2.5825,3,12,3,2023,0.0
2023-03-16 13:00:00,2.783333333333333,3,13,3,2023,0.0
2023-03-16 14:00:00,2.605,3,14,3,2023,0.0
2023-03-16 15:00:00,2.9283333333333332,3,15,3,2023,0.0
2023-03-16 16:00:00,2.7975,3,16,3,2023,0.0
2023-03-16 17:00:00,3.155,3,17,3,2023,0.0
2023-03-16 18:00:00,2.8466666666666662,3,18,3,2023,0.0
2023-03-16 19:00:00,3.033333333333333,3,19,3,2023,0.0
2023-03-16 20:00:00,3.0316666666666667,3,20,3,2023,0.0
2023-03-16 21:00:00,2.9266666666666663,3,21,3,2023,0.0
2023-03-16 22:00:00,3.0316666666666667,3,22,3,2023,0.02
2023-03-16 23:00:00,2.811666666666667,3,23,3,2023,0.0
2023-03-17 00:00:00,2.688333333333333,4,0,3,2023,0.0
2023-03-17 01:00:00,2.6799999999999997,4,1,3,2023,0.0
2023-03-17 02:00:00,3.0966666666666662,4,2,3,2023,0.24
2023-03-17 03:00:00,4.866666666666667,4,3,3,2023,0.08
2023-03-17 04:00:00,4.136666666666667,4,4,3,2023,0.14
2023-03-17 05:00:00,5.178333333333334,4,5,3,2023,0.02
2023-03-17 06:00:00,4.208333333333333,4,6,3,2023,0.0
2023-03-17 07:00:00,3.7816666666666667,4,7,3,2023,0.0
2023-03-17 08:00:00,3.65,4,8,3,2023,0.04
2023-03-17 09:00:00,3.774,4,9,3,2023,0.0
2023-03-17 10:00:00,3.69,4,10,3,2023,0.0
2023-03-17 11:00:00,3.6366666666666667,4,11,3,2023,0.0
2023-03-17 12:00:00,3.5516666666666663,4,12,3,2023,0.0
2023-03-17 13:00:00,3.44,4,13,3,2023,0.0
2023-03-17 14:00:00,3.485,4,14,3,2023,0.0
2023-03-17 15:00:00,3.39,4,15,3,2023,0.0
2023-03-17 16:00:00,3.36,4,16,3,2023,0.0
2023-03-17 17:00:00,3.27,4,17,3,2023,0.0
2023-03-17 18:00:00,3.0849999999999995,4,18,3,2023,0.0
2023-03-17 19:00:00,3.0749999999999997,4,19,3,2023,0.0
2023-03-17 20:00:00,3.02,4,20,3,2023,0.0
2023-03-17 21:00:00,2.97,4,21,3,2023,0.0
2023-03-17 22:00:00,2.97,4,22,3,2023,0.0
2023-03-17 23:00:00,2.856666666666667,4,23,3,2023,0.0
2023-03-18 00:00:00,2.9599999999999995,5,0,3,2023,0.0
2023-03-18 01:00:00,2.6599999999999997,5,1,3,2023,0.0
2023-03-18 02:00:00,2.5533333333333332,5,2,3,2023,0.0
2023-03-18 03:00:00,2.5833333333333335,5,3,3,2023,0.0
2023-03-18 04:00:00,2.5216666666666665,5,4,3,2023,0.0
2023-03-18 05:00:00,2.552,5,5,3,2023,0.0
2023-03-18 06:00:00,2.53,5,6,3,2023,0.0
2023-03-18 07:00:00,2.536,5,7,3,2023,0.0
2023-03-18 08:00:00,2.5416666666666665,5,8,3,2023,0.0
2023-03-18 09:00:00,2.6999999999999997,5,9,3,2023,0.0
2023-03-18 10:00:00,2.7733333333333334,5,10,3,2023,0.0
2023-03-18 11:00:00,2.8866666666666667,5,11,3,2023,0.0
2023-03-18 12:00:00,2.8,5,12,3,2023,0.0
2023-03-18 13:00:00,2.8683333333333336,5,13,3,2023,0.0
2023-03-18 14:00:00,2.8966666666666665,5,14,3,2023,0.0
2023-03-18 15:00:00,2.8666666666666667,5,15,3,2023,0.0
2023-03-18 16:00:00,2.8249999999999997,5,16,3,2023,0.0
2023-03-18 17:00:00,2.776,5,17,3,2023,0.0
2023-03-18 18:00:00,2.75,5,18,3,2023,0.0
2023-03-18 19:00:00,2.72,5,19,3,2023,0.0
2023-03-18 20:00:00,2.73,5,20,3,2023,0.0
2023-03-18 21:00:00,2.7916666666666665,5,21,3,2023,0.0
2023-03-18 22:00:00,2.7216666666666662,5,22,3,2023,0.0
2023-03-18 23:00:00,2.688333333333333,5,23,3,2023,0.0
2023-03-19 00:00:00,2.638333333333333,6,0,3,2023,0.0
2023-03-19 01:00:00,2.7916666666666665,6,1,3,2023,0.0
2023-03-19 02:00:00,2.6,6,2,3,2023,0.0
2023-03-19 03:00:00,2.3966666666666665,6,3,3,2023,0.0
2023-03-19 04:00:00,2.3000000000000003,6,4,3,2023,0.0
2023-03-19 05:00:00,2.226,6,5,3,2023,0.0
2023-03-19 06:00:00,2.2399999999999998,6,6,3,2023,0.0
2023-03-19 07:00:00,2.238,6,7,3,2023,0.0
2023-03-19 08:00:00,2.3366666666666664,6,8,3,2023,0.0
2023-03-19 09:00:00,2.464,6,9,3,2023,0.0
2023-03-19 10:00:00,2.5966666666666667,6,10,3,2023,0.0
2023-03-19 11:00:00,2.7816666666666667,6,11,3,2023,0.0
2023-03-19 12:00:00,2.8899999999999997,6,12,3,2023,0.0
2023-03-19 13:00:00,2.845,6,13,3,2023,0.0
2023-03-19 14:00:00,2.69,6,14,3,2023,0.0
2023-03-19 15:00:00,2.936666666666667,6,15,3,2023,0.0
2023-03-19 16:00:00,2.814,6,16,3,2023,0.0
2023-03-19 17:00:00,2.813333333333333,6,17,3,2023,0.0
2023-03-19 18:00:00,2.7099999999999995,6,18,3,2023,0.0
2023-03-19 19:00:00,2.811666666666667,6,19,3,2023,0.0
2023-03-19 20:00:00,2.74,6,20,3,2023,0.0
2023-03-19 21:00:00,3.2533333333333334,6,21,3,2023,0.0
2023-03-19 22:00:00,3.02,6,22,3,2023,0.0
2023-03-19 23:00:00,2.9599999999999995,6,23,3,2023,0.0
2023-03-20 00:00:00,2.7616666666666667,0,0,3,2023,0.0
2023-03-20 01:00:00,2.48,0,1,3,2023,0.0
2023-03-20 02:00:00,2.3233333333333333,0,2,3,2023,0.0
2023-03-20 03:00:00,2.28,0,3,3,2023,0.0
2023-03-20 04:00:00,2.19,0,4,3,2023,0.0
2023-03-20 05:00:00,2.22,0,5,3,2023,0.0
2023-03-20 06:00:00,2.3983333333333334,0,6,3,2023,0.0
2023-03-20 07:00:00,2.688333333333333,0,7,3,2023,0.0
2023-03-20 08:00:00,2.72,0,8,3,2023,0.0
2023-03-20 09:00:00,2.69,0,9,3,2023,0.0
2023-03-20 10:00:00,2.67,0,10,3,2023,0.0
2023-03-20 11:00:00,2.74,0,11,3,2023,0.0
2023-03-20 12:00:00,2.74,0,12,3,2023,0.0
2023-03-20 13:00:00,2.7216666666666662,0,13,3,2023,0.0
2023-03-20 14:00:00,2.8349999999999995,0,14,3,2023,0.0
2023-03-20 15:00:00,2.73,0,15,3,2023,0.0
2023-03-20 16:00:00,2.85,0,16,3,2023,0.0
2023-03-20 17:00:00,2.705,0,17,3,2023,0.0
2023-03-20 18:00:00,2.6466666666666665,0,18,3,2023,0.0
2023-03-20 19:00:00,2.7483333333333335,0,19,3,2023,0.0
2023-03-20 20:00:00,2.9483333333333337,0,20,3,2023,0.0
2023-03-20 21:00:00,3.04,0,21,3,2023,0.0
2023-03-20 22:00:00,2.8899999999999997,0,22,3,2023,0.0
2023-03-20 23:00:00,2.9266666666666663,0,23,3,2023,0.0
2023-03-21 00:00:00,2.614,1,0,3,2023,0.0
2023-03-21 01:00:00,2.606666666666667,1,1,3,2023,0.0
